51st Stater,Canadians
539,Jews
7-11,Arabs
8 Mile,Whites
925,Blacks
A.I.,Americans
AA,Blacks
Abba-Dabba,Arabs
ABC,Chinese
ABC,Australians
ABCD,Indians
Abco,Australian Aboriginals
Abdul,Arabs
Abe Lincoln,Whites
Abeed,Blacks
Abi-Dabi,Arabs
Abo,Australian Aboriginals
Ace Of Spades,Blacks
Adolf,Germans
African,Blacks
African't,Blacks
Africoon,Blacks
Afro,Blacks
Afro-Saxon,Whites
Agent Orange,Vietnamese
Ahab,Arabs
Aibu,Whites
Ainu,Japanese Aboriginals
Akata,Black Americans
Aladdin,Arabs
Albino,Whites
Albo,Albanians
Alcoholic,Native Americans
Alphabet,Arabs
Ame-koh,Americans
American't,Americans
Americoon,Blacks
Americunt,Americans
AmeriKKKan,Americans
Amerikos,Americans
AMF,Jews
Ami,Americans
Amigo,Hispanics
Anchor Baby,Mexicans
Ancient Chinese Secret,Chinese
Angie,Canadians
Anglo,Whites
Angus,Blacks
Ant,Antarcticans
Antique Farm Equipment,Blacks
Ape,Blacks
Apna,Indians
Apple,Native Americans
Apple,Blacks
Apu,Indians
Ararat,Armenians
Aravi,Arabs
Arf,Blacks
Argie,Argentinans
Arm Pits,Armenians
Armo,Armenians
Aryan,Whites
Ashy,Blacks
Atta,Arabs
Aunt Jemima,Blacks
Ayatollah,Persians
Azn,Asians
Babar,Indians
Baboomba,Blacks
Baboon,Blacks
Babu,Indians
Baby-Muncher,Chinese
Bacardi,Puerto Ricans
Bacon Bits,Whites
Bagel-Dog,Jews
Bahadur,Nepalese
Bai Tou,Whites
Baijo,Whites
Bak Guiy,Whites
Balsero,Cubans
Balt,Lithuanians
Baluba,Blacks
Baluga,Blacks
Bamboo Coon,Chinese
Ban,Hispanics
Banana,Asians
Banana Bender,Australians
Bananame,Asians
Bandwidth Nigger/Whore,Asians
Banjo Lips,Blacks
Bantu,Blacks
BAP,Blacks
Bar Code,Jews
Bara,Arabs
Bargain Korean,Hawaiians
Bat-gwai/Bai-guei,Whites
Batman,Arabs
Bay Frog,Canadians
Bazi,Germans
BBC,Chinese
BBK,Blacks
BDN,Blacks
Beach-Nigger,Whites
Bean Bandit,Hispanics
Bean Burrito,Hispanics
Bean Dipper,Whites
Beanbag,Hispanics
Beaner,Hispanics
Beaner Ball,Hispanics
Beaner Shnitzel,Mixed Races
Beaniard,Hispanics
Beanie,Jews
Bear,Blacks
Beastie Boy,Jews
Beaver-Beater,French Canadians
Bebe's Kids,Blacks
Bed Time,Asians
Bee-Keeper,Afghans
Beecher,Whites
Beggar,Blacks
Belegana,Whites
Belgie,Belgians
Bennie,Falkland Islanders
Bergie,Blacks
Berry Picker,Hispanics
BET,Blacks
Betty,Vietnamese
Betty Crocker,Whites
Beur,Arabs
BFI,Native Americans
BFI,Blacks
Bhindu,Indians
Bhrempti,Indians
Bible-Shortener,Jews
Bic-Needer,French
Big Mac,Scottish
Big Nose,Jews
